x y z radius
4.898903 1.697640 0.048504 0.048504 
4.947407 1.649136 0.048504 0.048504 
4.995911 1.649136 0.048504 0.048504 
5.189927 1.649136 0.048504 0.097008 
5.286935 1.940160 0.048504 0.048504 
5.286935 1.988664 0.048504 0.048504 
5.335439 3.104256 0.048504 0.048504 
5.383943 3.104256 0.048504 0.048504 
5.674967 4.995911 0.048504 0.048504 
5.917487 3.152760 0.048504 0.048504 
6.257015 2.522208 0.048504 0.048504 
6.305519 2.570712 0.048504 0.048504 
6.305519 4.995911 0.048504 0.048504 
6.354023 4.413864 0.048504 0.048504 
6.354023 4.898903 0.048504 0.048504 
6.354023 4.947407 0.048504 0.048504 
6.402527 4.365360 0.048504 0.048504 
6.451031 4.365360 0.048504 0.048504 
7.033079 1.746144 0.048504 0.048504 
7.033079 2.619216 0.048504 0.048504 
7.081583 4.122840 0.048504 0.048504 
7.130087 4.122840 0.048504 0.048504 
7.615127 4.607880 0.048504 0.048504 
8.003159 4.025832 0.048504 0.048504 
8.439695 3.201264 0.048504 0.048504 
8.439695 3.249768 0.048504 0.048504 
8.439695 3.298272 0.048504 0.048504 
8.439695 3.346776 0.048504 0.048504 
8.536703 2.764728 0.048504 0.048504 
4.316856 2.328192 0.097008 0.084011 
4.898903 2.182680 0.097008 0.048504 
4.947407 2.182680 0.097008 0.048504 
4.995911 2.134176 0.097008 0.048504 
5.141423 1.697640 0.097008 0.048504 
5.238431 1.649136 0.097008 0.097008 
5.286935 1.600632 0.097008 0.118810 
5.432447 3.152760 0.097008 0.068595 
5.674967 2.425200 0.097008 0.048504 
5.820479 3.783312 0.097008 0.048504 
6.111503 2.085672 0.097008 0.084011 
6.208511 2.473704 0.097008 0.048504 
6.305519 2.619216 0.097008 0.048504 
6.742055 2.910240 0.097008 0.084011 
7.033079 1.746144 0.097008 0.048504 
7.081583 2.619216 0.097008 0.048504 
7.469615 4.753392 0.097008 0.084011 
7.615127 4.656384 0.097008 0.048504 
8.003159 4.074336 0.097008 0.048504 
8.439695 3.395280 0.097008 0.048504 
8.682215 2.570712 0.097008 0.048504 
8.682215 2.619216 0.097008 0.048504 
4.316856 2.328192 0.145512 0.097008 
4.850399 2.764728 0.145512 0.048504 
4.850399 2.813232 0.145512 0.048504 
4.850399 2.861736 0.145512 0.048504 
4.898903 3.055752 0.145512 0.068595 
4.995911 1.940160 0.145512 0.068595 
4.995911 1.988664 0.145512 0.068595 
5.044415 1.843152 0.145512 0.068595 
5.044415 2.085672 0.145512 0.048504 
5.092919 1.746144 0.145512 0.048504 
5.335439 1.552128 0.145512 0.097008 
5.383943 2.134176 0.145512 0.068595 
5.383943 2.182680 0.145512 0.048504 
5.432447 1.988664 0.145512 0.048504 
5.432447 2.037168 0.145512 0.048504 
5.432447 2.085672 0.145512 0.048504 
5.432447 2.861736 0.145512 0.048504 
5.432447 3.201264 0.145512 0.084011 
5.674967 2.425200 0.145512 0.048504 
5.820479 3.783312 0.145512 0.048504 
6.111503 2.085672 0.145512 0.097008 
6.208511 2.473704 0.145512 0.048504 
6.354023 2.667720 0.145512 0.048504 
6.742055 2.958744 0.145512 0.084011 
7.081583 1.746144 0.145512 0.048504 
7.518119 4.753392 0.145512 0.048504 
7.566623 4.704888 0.145512 0.048504 
8.051663 4.074336 0.145512 0.068595 
8.439695 3.443784 0.145512 0.048504 
8.439695 3.492288 0.145512 0.048504 
4.316856 2.328192 0.194016 0.097008 
4.704888 2.473704 0.194016 0.048504 
4.850399 2.910240 0.194016 0.048504 
4.898903 3.055752 0.194016 0.068595 
4.995911 2.037168 0.194016 0.048504 
5.044415 1.891656 0.194016 0.048504 
5.092919 1.794648 0.194016 0.084011 
5.286935 1.552128 0.194016 0.097008 
5.383943 2.231184 0.194016 0.048504 
5.432447 2.861736 0.194016 0.048504 
5.432447 3.152760 0.194016 0.068595 
5.480951 1.940160 0.194016 0.048504 
5.723471 2.376696 0.194016 0.048504 
5.820479 1.503624 0.194016 0.048504 
5.868983 1.455120 0.194016 0.048504 
5.868983 3.831816 0.194016 0.048504 
6.111503 2.085672 0.194016 0.084011 
6.208511 2.473704 0.194016 0.048504 
6.354023 2.716224 0.194016 0.048504 
6.742055 2.958744 0.194016 0.084011 
7.081583 1.746144 0.194016 0.048504 
7.178591 4.995911 0.194016 0.084011 
7.469615 4.801895 0.194016 0.068595 
7.566623 4.801895 0.194016 0.048504 
7.615127 4.704888 0.194016 0.048504 
8.100167 4.074336 0.194016 0.068595 
8.245679 3.977328 0.194016 0.048504 
8.439695 3.540792 0.194016 0.048504 
4.316856 2.328192 0.242520 0.084011 
4.704888 2.473704 0.242520 0.048504 
4.801895 3.346776 0.242520 0.048504 
4.850399 2.958744 0.242520 0.068595 
4.850399 3.007248 0.242520 0.084011 
